index,concept_id,concept_name,decision,top_score,selected_video_title,selected_video_url,selected_evidence_timestamp,clip_start_sec,clip_duration_sec,clip_ok,clip_file,clip_used_url
11,concept_99edd8c8e615,Worker,matched,0.4189,Worker - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/14bc3375-3a23-4ed6-aa16-6513677ef189_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632daf2baf0e01ca35bb12e5ae9cb5c65a603059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47fb108680c195ae7aedbefcbd824e55924,00:00:01 - 00:01:17,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\011_concept_99edd8c8e615.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/14bc3375-3a23-4ed6-aa16-6513677ef189_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632daf2baf0e01ca35bb12e5ae9cb5c65a603059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47fb108680c195ae7aedbefcbd824e55924
12,concept_672c1db9d8e8,特征,matched,0.4148,特征 - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71,00:01:19 - 00:01:59,79.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\012_concept_672c1db9d8e8.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71
13,concept_1d29566985f5,半结构化数据,matched,0.413,半结构化数据 - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71,00:00:01 - 00:01:19,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\013_concept_1d29566985f5.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71
14,concept_d2f6a7040ac7,数据量,matched,0.4124,数据量 - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71,00:01:19 - 00:01:59,79.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\014_concept_d2f6a7040ac7.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71
15,concept_0f62a19eebe0,Reduce,matched,0.4116,Reduce - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/f34b0da5-e409-4169-8422-c4f1baaed511_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d9e3697ccf511545583a435c2602e65e73059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47f4cca709eeec35724f15d3e6a182e04cb,00:01:22 - 00:01:59,82.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\015_concept_0f62a19eebe0.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/f34b0da5-e409-4169-8422-c4f1baaed511_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d9e3697ccf511545583a435c2602e65e73059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47f4cca709eeec35724f15d3e6a182e04cb
16,concept_3b18e8e33250,Volume,matched,0.4097,Volume - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71,00:01:19 - 00:01:59,79.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\016_concept_3b18e8e33250.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71
17,concept_9f738ce8457f,HTML,matched,0.4036,HTML - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/f42f1679-3fd6-4b45-bfe8-c05cf5125f36_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d0f94367baef8cbd149fa9ff7f5123ac83059f726dc7bb86b92adbc3d5b34b132e8fb1d2ca8b7fb72fe528b9d250c5487b108680c195ae7aedbefcbd824e55924,00:00:01 - 00:01:13,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\017_concept_9f738ce8457f.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/f42f1679-3fd6-4b45-bfe8-c05cf5125f36_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d0f94367baef8cbd149fa9ff7f5123ac83059f726dc7bb86b92adbc3d5b34b132e8fb1d2ca8b7fb72fe528b9d250c5487b108680c195ae7aedbefcbd824e55924
18,concept_f4dbbc63a555,数据库,matched,0.4036,数据库 - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71,00:00:01 - 00:01:19,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\018_concept_f4dbbc63a555.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71
19,concept_26479487784e,深度网,matched,0.4017,深度网 - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/f42f1679-3fd6-4b45-bfe8-c05cf5125f36_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d0f94367baef8cbd149fa9ff7f5123ac83059f726dc7bb86b92adbc3d5b34b132e8fb1d2ca8b7fb72fe528b9d250c5487b108680c195ae7aedbefcbd824e55924,00:00:01 - 00:01:13,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\019_concept_26479487784e.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/f42f1679-3fd6-4b45-bfe8-c05cf5125f36_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d0f94367baef8cbd149fa9ff7f5123ac83059f726dc7bb86b92adbc3d5b34b132e8fb1d2ca8b7fb72fe528b9d250c5487b108680c195ae7aedbefcbd824e55924
20,concept_ab281b51ff78,数据存储系统,matched,0.4002,数据存储系统 - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/f5f5f624-eade-49a4-8510-bb3521b693a6_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d6e71ec736e38c0f3b43ba0b6210c739f3059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47fdf69454fe54d63664bd5297860cdfa3d,00:00:15 - 00:01:18,15.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\020_concept_ab281b51ff78.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/f5f5f624-eade-49a4-8510-bb3521b693a6_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d6e71ec736e38c0f3b43ba0b6210c739f3059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47fdf69454fe54d63664bd5297860cdfa3d
